date,money,cash,pay_users,users,ARPU,ARPPU
2021-07-10,393870.25,414345600,523103,539991,0.7294015085436609,0.7529497058896623
2021-07-11,392476.58,413883550,522779,539991,0.7268205951580675,0.7507504700839169
2021-07-12,390787.8,411404650,521851,539991,0.7236931726639888,0.7488493842112021
2021-07-13,382743.77,401374950,516310,539991,0.7087965725354682,0.7413061339117972
2021-07-14,364514.38,376459800,498612,539991,0.6750378802609673,0.7310581775007421
2021-07-15,335543.71,331369100,457854,539991,0.6213875972006941,0.7328618074757456
2021-07-16,299028.24,269428450,392376,539991,0.5537652294204903,0.7620961526698881
2021-07-17,588901.06,514062600,318602,539991,1.0905756947800982,1.8483909705526018


